Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Please order these questions from most (first) to least (last) true.,,,,,,,,,
,,,,,,,,,People in the group are working together to solve a problem,She is referring to everybody in the group,There is tension between people in the group,People in the group disagree with one another,This group consists of many people,People in the group generally get along,The speaker likes the people in the group,The speaker is in annoyed with the group,The speaker is in control of the group,The speaker is open to feedback from the group
10569018914,226000457,03/04/2019 05:33:53 PM,03/04/2019 05:35:01 PM,134.132.52.220,,,,,5,1,6,8,2,3,4,9,7,10
10569011181,226000457,03/04/2019 05:29:59 PM,03/04/2019 05:32:21 PM,100.8.22.152,,,,,2,1,3,6,4,8,10,9,7,5
10569009227,226000457,03/04/2019 05:31:01 PM,03/04/2019 05:31:39 PM,76.190.127.154,,,,,2,1,9,8,5,3,4,10,6,7
10569001901,226000457,03/04/2019 05:27:26 PM,03/04/2019 05:29:07 PM,196.17.67.74,,,,,4,1,9,8,2,3,5,10,6,7
10568995447,226000457,03/04/2019 05:25:09 PM,03/04/2019 05:26:53 PM,69.121.229.14,,,,,10,9,3,2,7,5,4,1,6,8
10568961018,226000457,03/04/2019 05:11:57 PM,03/04/2019 05:15:22 PM,66.108.31.79,,,,,2,1,7,8,3,4,5,9,10,6
10568959346,226000457,03/04/2019 05:12:43 PM,03/04/2019 05:14:48 PM,73.243.170.88,,,,,1,2,9,3,4,5,6,10,8,7
10568954853,226000457,03/04/2019 05:12:13 PM,03/04/2019 05:13:17 PM,73.195.45.39,,,,,3,1,8,9,4,6,7,10,2,5
10568882038,226000457,03/04/2019 04:47:07 PM,03/04/2019 04:49:15 PM,108.213.128.25,,,,,3,10,5,4,2,8,9,7,1,6
10568870358,226000457,03/04/2019 04:44:18 PM,03/04/2019 04:45:10 PM,151.224.42.232,,,,,2,1,10,8,4,6,7,9,3,5
10568866256,226000457,03/04/2019 04:40:12 PM,03/04/2019 04:43:47 PM,170.83.234.20,,,,,7,1,8,9,4,3,6,10,5,2
10568863539,226000457,03/04/2019 04:42:10 PM,03/04/2019 04:42:52 PM,66.147.105.33,,,,,2,3,,7,1,4,6,8,9,5
10568846216,226000457,03/04/2019 04:34:24 PM,03/04/2019 04:36:53 PM,68.19.168.218,,,,,3,2,8,9,1,5,4,7,10,6
10568845354,226000457,03/04/2019 04:35:54 PM,03/04/2019 04:36:35 PM,216.81.103.58,,,,,1,2,10,8,3,4,5,9,7,6
10568842658,226000457,03/04/2019 04:34:03 PM,03/04/2019 04:35:40 PM,68.80.85.115,,,,,5,1,8,9,2,6,7,10,4,3
10568840470,226000457,03/04/2019 04:34:10 PM,03/04/2019 04:34:59 PM,23.88.195.98,,,,,9,1,5,2,6,3,8,10,7,4
10568840271,226000457,03/04/2019 04:34:01 PM,03/04/2019 04:34:55 PM,173.172.162.237,,,,,10,9,8,7,6,5,4,3,2,1
10568834557,226000457,03/04/2019 04:31:59 PM,03/04/2019 04:32:58 PM,73.74.73.61,,,,,6,1,8,9,3,4,5,10,7,2
10568833497,226000457,03/04/2019 04:31:18 PM,03/04/2019 04:32:38 PM,24.228.72.199,,,,,4,1,9,8,2,3,5,7,6,10
10568828642,226000457,03/04/2019 04:30:28 PM,03/04/2019 04:30:59 PM,136.63.108.120,,,,,1,4,10,8,3,6,7,9,2,5
10545729840,226000457,02/21/2019 03:46:26 PM,02/21/2019 03:48:21 PM,73.41.131.124,,,,,6,1,9,10,2,3,4,8,5,7
10545682742,226000457,02/21/2019 03:30:33 PM,02/21/2019 03:31:30 PM,190.112.195.96,,,,,1,2,3,5,4,8,7,9,6,10
10545680834,226000457,02/21/2019 03:29:14 PM,02/21/2019 03:30:48 PM,174.196.148.100,,,,,10,1,9,8,7,6,5,4,3,2
10545676388,226000457,02/21/2019 03:28:22 PM,02/21/2019 03:29:12 PM,173.31.17.53,,,,,3,1,10,7,2,4,5,8,6,9
10545645598,226000457,02/21/2019 03:08:05 PM,02/21/2019 03:18:11 PM,74.140.147.121,,,,,3,1,10,9,4,2,5,8,6,7
10545607214,226000457,02/21/2019 03:02:13 PM,02/21/2019 03:04:13 PM,217.39.120.108,,,,,4,1,10,9,6,5,7,8,3,2
10545586461,226000457,02/21/2019 02:55:20 PM,02/21/2019 02:56:18 PM,24.158.60.11,,,,,3,2,5,7,1,4,8,9,10,6
10545577105,226000457,02/21/2019 02:49:58 PM,02/21/2019 02:52:46 PM,86.144.131.210,,,,,3,1,9,8,2,5,6,10,4,7
10545458305,226000457,02/21/2019 02:05:31 PM,02/21/2019 02:06:12 PM,96.66.1.145,,,,,8,1,5,7,2,3,4,10,9,6
10545400316,226000457,02/21/2019 01:40:30 PM,02/21/2019 01:41:10 PM,75.111.239.251,,,,,1,2,7,9,3,4,8,10,5,6
10545318774,226000457,02/21/2019 01:02:12 PM,02/21/2019 01:02:30 PM,38.83.140.6,,,,,4,2,3,7,5,6,8,1,10,9
10545311669,226000457,02/21/2019 12:57:41 PM,02/21/2019 12:58:45 PM,196.19.176.230,,,,,4,3,6,2,1,9,7,8,10,5
10545309920,226000457,02/21/2019 12:56:20 PM,02/21/2019 12:57:47 PM,157.46.48.51,,,,,1,2,4,5,3,6,7,8,9,10
10539882730,226000457,02/19/2019 06:47:32 PM,02/19/2019 06:49:15 PM,103.98.63.16,,,,,4,1,9,10,3,5,2,8,7,6
10539866348,226000457,02/19/2019 06:41:55 PM,02/19/2019 06:43:09 PM,144.174.212.14,,,,,4,1,8,10,7,3,6,9,2,5
10539861244,226000457,02/19/2019 06:40:06 PM,02/19/2019 06:41:12 PM,208.58.195.69,,,,,2,1,10,9,3,4,6,8,7,5
10539853003,226000457,02/19/2019 06:36:58 PM,02/19/2019 06:38:01 PM,45.50.94.81,,,,,5,4,9,8,6,2,1,10,7,3
10539850857,226000457,02/19/2019 06:36:52 PM,02/19/2019 06:37:10 PM,66.192.25.226,,,,,3,2,1,8,6,4,7,9,5,10
10539835721,226000457,02/19/2019 06:30:15 PM,02/19/2019 06:31:20 PM,24.204.61.83,,,,,10,9,1,2,8,7,6,3,4,5
10539835148,226000457,02/19/2019 06:30:07 PM,02/19/2019 06:31:07 PM,71.40.11.54,,,,,5,1,8,9,3,7,4,10,2,6
10539834131,226000457,02/19/2019 06:30:07 PM,02/19/2019 06:30:44 PM,173.216.27.82,,,,,1,2,8,7,3,4,6,10,9,5
10539817169,226000457,02/19/2019 06:22:50 PM,02/19/2019 06:24:05 PM,198.15.66.67,,,,,3,4,5,8,6,7,9,2,1,10
10539780598,226000457,02/19/2019 06:10:04 PM,02/19/2019 06:10:15 PM,130.209.157.48,,,,,1,2,3,4,5,6,7,8,10,9
