Answer Choices,1,2,3,4,5,6,7,8,9,10,Total,Score
People in the group are working together to solve a problem,12,7,4,5,1,7,3,2,3,1,45,7.02
She is referring to everybody in the group,26,13,3,0,1,0,1,0,1,2,47,8.83
There is tension between people in the group,2,3,2,1,1,0,6,9,9,14,47,3.38
People in the group disagree with one another,1,0,1,4,1,5,1,14,17,3,47,3.4
This group consists of many people,4,13,15,5,4,3,0,3,0,0,47,7.66
People in the group generally get along,1,2,8,12,12,7,2,1,1,1,47,6.32
The speaker likes the people in the group,0,3,4,8,11,11,6,2,1,1,47,5.72
The speaker is in annoyed with the group,0,1,3,1,0,1,4,12,8,17,47,2.77
The speaker is in control of the group,1,1,2,6,6,5,14,4,5,3,47,4.66
The speaker is open to feedback from the group,0,4,4,4,10,8,10,0,2,5,47,5.21
