Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Please order these questions from most (first) to least (last) true.,,,,,,,,,
,,,,,,,,,People in the group are working together to solve a problem,She is referring to everybody in the group,There is tension between people in the group,People in the group disagree with one another,This group consists of many people,People in the group generally get along,The speaker likes the people in the group,The speaker is in annoyed with the group,The speaker is in control of the group,The speaker is open to feedback from the group
10569027118,226001917,03/04/2019 05:37:00 PM,03/04/2019 05:37:56 PM,134.132.52.220,,,,,6,1,8,9,2,3,5,10,7,4
10568995633,226001917,03/04/2019 05:26:29 PM,03/04/2019 05:26:57 PM,205.173.36.174,,,,,3,2,7,8,1,4,5,9,10,6
10568981875,226001917,03/04/2019 05:21:28 PM,03/04/2019 05:22:17 PM,128.32.94.201,,,,,6,1,10,8,3,4,5,9,7,2
10568975184,226001917,03/04/2019 05:18:27 PM,03/04/2019 05:20:05 PM,206.83.241.136,,,,,9,1,4,5,2,10,8,3,6,7
10568928606,226001917,03/04/2019 05:03:25 PM,03/04/2019 05:04:38 PM,73.243.170.88,,,,,1,2,7,8,3,4,5,10,9,6
10568908996,226001917,03/04/2019 04:56:34 PM,03/04/2019 04:58:19 PM,73.195.45.39,,,,,2,3,9,8,1,6,7,10,4,5
10568893828,226001917,03/04/2019 04:52:28 PM,03/04/2019 04:53:11 PM,69.243.25.64,,,,,4,1,9,10,2,3,6,7,8,5
10568887224,226001917,03/04/2019 04:47:39 PM,03/04/2019 04:50:59 PM,199.188.209.36,,,,,1,2,10,9,3,4,5,8,6,7
10568881296,226001917,03/04/2019 04:47:12 PM,03/04/2019 04:48:59 PM,73.49.74.10,,,,,8,10,1,6,3,4,5,2,7,9
10568860412,226001917,03/04/2019 04:41:02 PM,03/04/2019 04:41:45 PM,74.130.130.174,,,,,6,1,10,9,2,7,5,8,4,3
10568856573,226001917,03/04/2019 04:38:34 PM,03/04/2019 04:40:28 PM,50.233.104.158,,,,,9,10,8,7,5,1,2,3,4,6
10568840724,226001917,03/04/2019 04:34:17 PM,03/04/2019 04:35:04 PM,208.83.126.109,,,,,7,1,8,9,2,5,6,10,3,4
10568837264,226001917,03/04/2019 04:31:49 PM,03/04/2019 04:33:54 PM,45.53.67.169,,,,,6,1,9,8,2,5,4,10,3,7
10568835346,226001917,03/04/2019 04:33:02 PM,03/04/2019 04:33:14 PM,97.124.179.161,,,,,9,1,2,3,4,5,6,7,8,10
10568834294,226001917,03/04/2019 04:31:41 PM,03/04/2019 04:32:53 PM,24.29.241.207,,,,,2,1,8,9,3,6,4,10,5,7
10568834025,226001917,03/04/2019 04:32:04 PM,03/04/2019 04:32:48 PM,65.6.114.114,,,,,4,1,7,9,3,6,8,10,5,2
10568833838,226001917,03/04/2019 04:32:19 PM,03/04/2019 04:32:44 PM,73.86.63.137,,,,,6,1,8,10,2,7,3,9,4,5
10568832198,226001917,03/04/2019 04:30:37 PM,03/04/2019 04:32:11 PM,75.133.249.149,,,,,6,1,9,8,2,5,4,10,7,3
10568831985,226001917,03/04/2019 04:30:32 PM,03/04/2019 04:32:07 PM,73.187.47.196,,,,,3,1,10,9,8,2,4,7,5,6
10568831791,226001917,03/04/2019 04:30:54 PM,03/04/2019 04:32:04 PM,66.66.3.100,,,,,8,1,9,6,5,4,3,10,7,2
10546232915,226001917,02/21/2019 06:42:54 PM,02/21/2019 06:44:22 PM,155.178.180.14,,,,,,1,10,4,2,9,6,8,5,7
10546131041,226001917,02/21/2019 06:05:54 PM,02/21/2019 06:06:01 PM,169.139.19.226,,,,,2,3,1,4,5,6,7,8,9,10
10546040791,226001917,02/21/2019 05:32:37 PM,02/21/2019 05:33:17 PM,198.99.244.32,,,,,,5,3,1,8,6,7,10,9,2
10546033027,226001917,02/21/2019 05:27:53 PM,02/21/2019 05:30:31 PM,107.207.112.237,,,,,2,1,10,9,3,5,6,8,4,7
10545970862,226001917,02/21/2019 05:08:22 PM,02/21/2019 05:08:50 PM,108.191.177.25,,,,,1,2,8,6,3,4,5,9,10,7
10545739953,226001917,02/21/2019 03:51:15 PM,02/21/2019 03:51:57 PM,104.53.71.33,,,,,1,3,10,8,6,5,2,9,7,4
10545688540,226001917,02/21/2019 03:32:28 PM,02/21/2019 03:33:33 PM,82.19.102.240,,,,,6,1,2,9,3,4,7,10,8,5
10545681059,226001917,02/21/2019 03:30:14 PM,02/21/2019 03:30:53 PM,73.62.179.123,,,,,2,1,8,9,6,3,4,10,7,5
