Answer Choices,1,2,3,4,5,6,7,8,9,10,Total,Score
People in the group are working together to solve a problem,7,6,5,3,3,5,0,1,2,2,34,6.97
She is referring to everybody in the group,16,10,3,2,1,0,0,0,1,2,35,8.51
There is tension between people in the group,0,1,4,2,2,4,5,2,3,11,34,3.82
People in the group disagree with one another,0,0,2,2,5,2,3,7,11,2,34,3.74
This group consists of many people,2,13,5,4,2,5,1,2,0,0,34,7.41
People in the group generally get along,1,0,6,8,7,2,4,4,1,1,34,5.79
The speaker likes the people in the group,1,2,5,7,9,4,3,2,1,0,34,6.21
The speaker is in annoyed with the group,2,0,0,1,0,3,6,8,7,7,34,3.26
The speaker is in control of the group,4,0,3,1,1,5,4,6,6,4,34,4.47
The speaker is open to feedback from the group,2,2,1,4,4,4,8,2,2,5,34,4.85
