Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Please order these questions from most (first) to least (last) true.,,,,,,,,,
,,,,,,,,,People in the group are working together to solve a problem,She is referring to everybody in the group,There is tension between people in the group,People in the group disagree with one another,This group consists of many people,People in the group generally get along,The speaker likes the people in the group,The speaker is in annoyed with the group,The speaker is in control of the group,The speaker is open to feedback from the group
10569128541,226001622,03/04/2019 06:12:56 PM,03/04/2019 06:15:14 PM,78.190.176.61,,,,,2,1,10,9,8,3,4,7,5,6
10569034358,226001622,03/04/2019 05:39:38 PM,03/04/2019 05:40:32 PM,134.132.52.220,,,,,9,2,8,7,3,4,5,6,1,10
10569032190,226001622,03/04/2019 05:38:08 PM,03/04/2019 05:39:45 PM,96.84.175.110,,,,,6,2,3,10,1,4,5,7,9,8
10568998545,226001622,03/04/2019 05:25:31 PM,03/04/2019 05:27:59 PM,151.213.164.36,,,,,2,1,10,9,4,5,3,8,6,7
10568990209,226001622,03/04/2019 05:24:47 PM,03/04/2019 05:25:06 PM,128.32.94.201,,,,,3,1,10,9,4,5,6,7,8,2
10568919581,226001622,03/04/2019 05:00:30 PM,03/04/2019 05:01:48 PM,73.195.45.39,,,,,4,3,10,9,2,7,5,8,1,6
10568908963,226001622,03/04/2019 04:56:22 PM,03/04/2019 04:58:19 PM,172.56.35.63,,,,,5,1,7,6,2,3,8,9,10,4
10568891780,226001622,03/04/2019 04:51:53 PM,03/04/2019 04:52:29 PM,50.233.104.158,,,,,10,9,6,5,7,1,2,4,3,8
10568858011,226001622,03/04/2019 04:39:51 PM,03/04/2019 04:40:57 PM,216.114.208.35,,,,,2,1,9,8,5,4,3,10,7,6
10568842191,226001622,03/04/2019 04:34:40 PM,03/04/2019 04:35:31 PM,67.173.139.253,,,,,2,1,10,9,3,5,4,8,6,7
10568833956,226001622,03/04/2019 04:31:56 PM,03/04/2019 04:32:46 PM,173.172.162.237,,,,,,1,,,,,,,,
10568831816,226001622,03/04/2019 04:31:24 PM,03/04/2019 04:32:04 PM,170.253.129.131,,,,,6,1,10,9,2,4,3,7,8,5
10546348235,226001622,02/21/2019 07:26:02 PM,02/21/2019 07:27:10 PM,205.173.36.174,,,,,6,1,7,8,2,3,4,9,10,5
10546087230,226001622,02/21/2019 05:48:59 PM,02/21/2019 05:49:55 PM,72.92.38.215,,,,,3,1,8,9,2,4,5,10,6,7
10546001409,226001622,02/21/2019 05:19:13 PM,02/21/2019 05:19:23 PM,169.139.19.226,,,,,1,3,4,5,2,6,7,8,9,10
10545994163,226001622,02/21/2019 05:16:07 PM,02/21/2019 05:16:53 PM,73.221.150.186,,,,,1,2,4,5,6,7,3,8,9,10
10545798407,226001622,02/21/2019 04:11:30 PM,02/21/2019 04:12:37 PM,104.189.68.40,,,,,3,2,7,9,6,8,4,10,1,5
10545720813,226001622,02/21/2019 03:43:53 PM,02/21/2019 03:45:07 PM,24.29.209.28,,,,,3,2,10,9,6,5,7,8,4,1
10545718139,226001622,02/21/2019 03:43:19 PM,02/21/2019 03:44:08 PM,73.180.140.40,,,,,3,1,9,8,2,4,5,10,6,7
10545712803,226001622,02/21/2019 03:39:34 PM,02/21/2019 03:42:14 PM,130.132.173.144,,,,,1,2,10,7,6,4,5,9,8,3
10545688215,226001622,02/21/2019 03:32:16 PM,02/21/2019 03:33:26 PM,66.186.164.110,,,,,4,2,6,9,1,3,5,10,8,7
10545477113,226001622,02/21/2019 02:12:38 PM,02/21/2019 02:13:51 PM,207.255.164.112,,,,,6,1,10,8,2,3,5,9,7,4
10545381215,226001622,02/21/2019 01:30:47 PM,02/21/2019 01:32:33 PM,72.240.42.10,,,,,6,1,10,8,2,4,5,9,3,7
10545364935,226001622,02/21/2019 01:24:06 PM,02/21/2019 01:24:50 PM,75.68.35.109,,,,,5,1,6,10,2,9,7,8,3,4
10545319567,226001622,02/21/2019 01:01:54 PM,02/21/2019 01:02:54 PM,162.251.221.196,,,,,5,1,7,8,2,3,4,6,9,10
10545310063,226001622,02/21/2019 12:56:59 PM,02/21/2019 12:57:52 PM,184.101.113.92,,,,,1,2,5,6,3,10,8,9,7,4
10539878000,226001622,02/19/2019 06:46:41 PM,02/19/2019 06:47:27 PM,70.181.10.196,,,,,4,10,5,3,8,7,2,1,9,6
10539872523,226001622,02/19/2019 06:45:18 PM,02/19/2019 06:45:25 PM,47.7.236.220,,,,,2,10,3,4,5,6,1,7,8,9
10539865275,226001622,02/19/2019 06:42:14 PM,02/19/2019 06:42:45 PM,187.136.241.44,,,,,10,1,3,4,2,5,6,7,8,9
10539864385,226001622,02/19/2019 06:41:20 PM,02/19/2019 06:42:25 PM,75.97.41.155,,,,,1,2,10,9,3,8,4,6,7,5
10539857311,226001622,02/19/2019 06:39:22 PM,02/19/2019 06:39:43 PM,67.167.52.173,,,,,8,4,3,5,6,7,9,10,1,2
10539841697,226001622,02/19/2019 06:32:32 PM,02/19/2019 06:33:38 PM,98.214.186.66,,,,,9,5,2,3,4,8,6,1,10,7
10539834579,226001622,02/19/2019 06:29:21 PM,02/19/2019 06:30:53 PM,92.21.176.83,,,,,1,4,9,5,2,8,3,10,6,7
10539829516,226001622,02/19/2019 06:27:58 PM,02/19/2019 06:28:54 PM,174.100.103.147,,,,,1,2,6,7,3,5,4,8,9,10
10539822243,226001622,02/19/2019 06:24:54 PM,02/19/2019 06:26:06 PM,71.206.8.9,,,,,2,3,7,8,4,5,6,9,10,1
