Answer Choices,1,2,3,4,5,6,7,8,9,10,Total,Score
People in the group are working together to solve a problem,5,5,2,4,2,8,3,5,2,4,40,5.65
She is referring to everybody in the group,10,4,2,8,6,2,1,1,2,4,40,6.73
There is tension between people in the group,4,9,9,3,2,1,4,0,7,0,39,6.69
People in the group disagree with one another,2,4,10,8,5,1,1,6,0,2,39,6.44
This group consists of many people,1,5,1,5,10,7,5,3,2,1,40,5.68
People in the group generally get along,0,2,3,4,5,9,7,5,3,1,39,5
The speaker likes the people in the group,3,4,4,3,1,4,7,3,8,3,40,5.03
The speaker is in annoyed with the group,8,4,6,1,1,1,3,5,3,8,40,5.58
The speaker is in control of the group,7,1,1,2,4,3,7,3,8,5,41,4.83
The speaker is open to feedback from the group,1,1,2,2,4,4,2,9,4,12,41,3.61
