Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Please order these questions from most (first) to least (last) true.,,,,,,,,,
,,,,,,,,,People in the group are working together to solve a problem,She is referring to everybody in the group,There is tension between people in the group,People in the group disagree with one another,This group consists of many people,People in the group generally get along,The speaker likes the people in the group,The speaker is in annoyed with the group,The speaker is in control of the group,The speaker is open to feedback from the group
10569173582,226002474,03/04/2019 06:31:31 PM,03/04/2019 06:32:08 PM,104.129.198.80,,,,,10,9,7,8,6,4,5,3,1,2
10569164113,226002474,03/04/2019 06:24:36 PM,03/04/2019 06:28:31 PM,142.129.124.193,,,,,9,4,1,3,5,6,7,2,10,8
10569085009,226002474,03/04/2019 05:54:45 PM,03/04/2019 05:59:09 PM,73.182.209.236,,,,,5,1,9,10,2,3,4,8,7,6
10569060118,226002474,03/04/2019 05:48:54 PM,03/04/2019 05:49:50 PM,2.29.126.51,,,,,8,5,2,3,4,9,10,1,6,7
10569054839,226002474,03/04/2019 05:46:15 PM,03/04/2019 05:47:56 PM,174.110.55.152,,,,,4,6,9,8,3,5,2,10,1,7
10569049992,226002474,03/04/2019 05:44:27 PM,03/04/2019 05:46:11 PM,74.178.27.235,,,,,,,,,,,,,10,1
10569036787,226002474,03/04/2019 05:39:24 PM,03/04/2019 05:41:26 PM,73.216.222.54,,,,,3,2,4,1,5,7,6,8,9,10
10569014885,226002474,03/04/2019 05:32:23 PM,03/04/2019 05:33:38 PM,134.132.52.220,,,,,8,1,5,4,2,6,7,3,9,10
10569010530,226002474,03/04/2019 05:31:04 PM,03/04/2019 05:32:07 PM,196.17.67.74,,,,,5,4,7,8,1,2,3,10,9,6
10568990097,226002474,03/04/2019 05:24:14 PM,03/04/2019 05:25:03 PM,205.173.36.174,,,,,6,1,7,8,2,4,3,9,10,5
10568904815,226002474,03/04/2019 04:56:41 PM,03/04/2019 04:56:57 PM,70.187.80.244,,,,,2,5,6,7,8,3,1,9,4,10
10568901038,226002474,03/04/2019 04:52:48 PM,03/04/2019 04:55:41 PM,73.140.26.35,,,,,2,8,9,5,6,4,1,10,7,3
