Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Please order these questions from most (first) to least (last) true.,,,,,,,,,
,,,,,,,,,People in the group are working together to solve a problem,She is referring to everybody in the group,There is tension between people in the group,People in the group disagree with one another,This group consists of many people,People in the group generally get along,The speaker likes the people in the group,The speaker is in annoyed with the group,The speaker is in control of the group,The speaker is open to feedback from the group
10569229271,226002322,03/04/2019 06:48:28 PM,03/04/2019 06:53:27 PM,70.91.31.129,,,,,7,1,4,5,2,10,3,9,6,8
10569203623,226002322,03/04/2019 06:42:08 PM,03/04/2019 06:43:33 PM,75.163.74.95,,,,,10,2,1,3,4,9,8,5,6,7
10569175822,226002322,03/04/2019 06:31:31 PM,03/04/2019 06:33:01 PM,78.190.176.61,,,,,10,5,9,8,3,6,4,7,1,2
10569169882,226002322,03/04/2019 06:29:40 PM,03/04/2019 06:30:42 PM,104.129.198.80,,,,,3,2,6,7,1,9,4,5,10,8
10569158792,226002322,03/04/2019 06:23:57 PM,03/04/2019 06:26:29 PM,104.58.136.149,,,,,2,3,9,8,7,6,4,10,1,5
10569139215,226002322,03/04/2019 06:17:44 PM,03/04/2019 06:19:08 PM,73.72.137.182,,,,,,1,3,2,,,,,,4
10569075741,226002322,03/04/2019 05:52:03 PM,03/04/2019 05:55:42 PM,75.163.29.196,,,,,10,9,3,2,6,8,5,1,7,4
10569067063,226002322,03/04/2019 05:51:08 PM,03/04/2019 05:52:25 PM,72.94.186.107,,,,,1,7,8,9,2,3,4,10,5,6
10569032415,226002322,03/04/2019 05:38:15 PM,03/04/2019 05:39:50 PM,174.110.55.152,,,,,6,5,10,8,3,4,2,9,1,7
10569023080,226002322,03/04/2019 05:35:27 PM,03/04/2019 05:36:30 PM,134.132.52.220,,,,,9,1,7,8,3,5,6,2,4,10
10569004463,226002322,03/04/2019 05:28:52 PM,03/04/2019 05:30:00 PM,76.190.127.154,,,,,1,2,9,7,3,6,5,10,8,4
10568985829,226002322,03/04/2019 05:22:03 PM,03/04/2019 05:23:37 PM,38.106.150.170,,,,,1,2,8,9,6,3,5,10,4,7
10568927761,226002322,03/04/2019 05:03:00 PM,03/04/2019 05:04:22 PM,73.195.45.39,,,,,10,4,2,6,1,8,7,3,5,9
10568909221,226002322,03/04/2019 04:57:19 PM,03/04/2019 04:58:24 PM,172.58.139.42,,,,,,,,1,7,3,10,4,2,9
10568875430,226002322,03/04/2019 04:45:50 PM,03/04/2019 04:46:58 PM,193.62.12.234,,,,,8,2,1,3,4,9,5,6,10,7
10568853685,226002322,03/04/2019 04:38:22 PM,03/04/2019 04:39:28 PM,73.107.78.103,,,,,3,1,10,8,4,2,5,9,6,7
10568846802,226002322,03/04/2019 04:36:30 PM,03/04/2019 04:37:05 PM,174.80.105.71,,,,,10,1,5,6,2,3,7,4,8,9
10545861752,226002322,02/21/2019 04:31:52 PM,02/21/2019 04:32:34 PM,223.182.223.91,,,,,,,4,,3,,5,,2,1
10545828203,226002322,02/21/2019 04:19:15 PM,02/21/2019 04:21:47 PM,75.132.78.239,,,,,2,7,9,8,4,3,5,10,6,1
10545823013,226002322,02/21/2019 04:18:52 PM,02/21/2019 04:20:14 PM,173.48.62.134,,,,,2,1,5,6,3,4,7,9,10,8
10545706768,226002322,02/21/2019 03:39:02 PM,02/21/2019 03:40:03 PM,75.118.150.77,,,,,4,1,9,10,7,3,5,8,2,6
10545705996,226002322,02/21/2019 03:38:37 PM,02/21/2019 03:39:45 PM,45.37.113.23,,,,,4,5,9,3,6,7,2,10,1,8
10545701764,226002322,02/21/2019 03:37:27 PM,02/21/2019 03:38:15 PM,65.27.184.244,,,,,1,2,9,6,8,5,3,10,7,4
10545698805,226002322,02/21/2019 03:35:18 PM,02/21/2019 03:37:11 PM,96.245.115.148,,,,,9,4,2,3,7,10,6,1,5,8
10545676759,226002322,02/21/2019 03:24:08 PM,02/21/2019 03:29:20 PM,107.3.174.208,,,,,4,5,8,1,7,3,9,10,6,2
10545669683,226002322,02/21/2019 03:26:01 PM,02/21/2019 03:26:48 PM,71.213.30.5,,,,,10,9,8,7,4,2,1,6,3,5
10545616301,226002322,02/21/2019 03:06:08 PM,02/21/2019 03:07:36 PM,71.181.130.5,,,,,9,1,5,6,3,8,7,4,2,10
