Answer Choices,1,2,3,4,5,6,7,8,9,10,Total,Score
People in the group are working together to solve a problem,5,6,5,0,9,5,2,2,0,3,37,6.49
She is referring to everybody in the group,20,8,0,2,2,0,1,2,0,2,37,8.38
There is tension between people in the group,3,8,7,1,3,4,2,3,4,3,38,6.08
People in the group disagree with one another,1,1,6,7,1,1,5,5,6,4,37,4.81
This group consists of many people,4,8,5,7,6,2,0,2,2,0,36,7.14
People in the group generally get along,0,0,3,4,4,11,7,3,3,3,38,4.66
The speaker likes the people in the group,0,0,1,3,4,4,9,6,6,3,36,3.94
The speaker is in annoyed with the group,0,3,3,3,1,6,4,9,3,4,36,4.47
The speaker is in control of the group,2,3,4,3,3,0,5,3,10,5,38,4.53
The speaker is open to feedback from the group,1,0,3,7,4,3,2,3,3,11,37,4.22
