Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Please order these questions from most (first) to least (last) true.,,,,,,,,,
,,,,,,,,,People in the group are working together to solve a problem,She is referring to everybody in the group,There is tension between people in the group,People in the group disagree with one another,This group consists of many people,People in the group generally get along,The speaker likes the people in the group,The speaker is in annoyed with the group,The speaker is in control of the group,The speaker is open to feedback from the group
10569156412,226002557,03/04/2019 06:22:00 PM,03/04/2019 06:25:36 PM,78.190.176.61,,,,,10,8,6,1,2,7,9,3,5,4
10569140922,226002557,03/04/2019 06:19:23 PM,03/04/2019 06:19:46 PM,24.199.63.22,,,,,3,1,4,5,6,7,8,2,9,10
10569041655,226002557,03/04/2019 05:41:53 PM,03/04/2019 05:43:09 PM,174.110.55.152,,,,,7,1,9,8,3,4,5,10,2,6
10569035116,226002557,03/04/2019 05:40:06 PM,03/04/2019 05:40:49 PM,24.89.13.137,,,,,2,1,10,9,4,6,5,8,7,3
10569010556,226002557,03/04/2019 05:31:04 PM,03/04/2019 05:32:08 PM,134.132.52.220,,,,,8,1,3,4,2,7,6,5,10,9
10568996569,226002557,03/04/2019 05:26:04 PM,03/04/2019 05:27:17 PM,98.14.93.171,,,,,3,1,6,8,2,9,5,10,7,4
10568946790,226002557,03/04/2019 05:09:01 PM,03/04/2019 05:10:35 PM,73.195.45.39,,,,,5,4,7,8,2,10,9,6,1,3
10568931315,226002557,03/04/2019 05:04:56 PM,03/04/2019 05:05:28 PM,68.8.0.195,,,,,2,1,10,9,4,7,5,8,3,6
10568923044,226002557,03/04/2019 05:02:13 PM,03/04/2019 05:02:53 PM,68.131.72.157,,,,,5,7,9,8,4,6,10,2,3,1
10568908028,226002557,03/04/2019 04:57:20 PM,03/04/2019 04:58:01 PM,73.243.170.88,,,,,6,1,7,9,2,3,4,10,5,8
10568875250,226002557,03/04/2019 04:45:57 PM,03/04/2019 04:46:55 PM,108.82.246.193,,,,,5,10,2,3,,8,,,4,7
