Metaphoric Gesture Pilot MTurk AAO

Q1. Please order these questions from most (first) to least (last) true.
Answer Choices,1,2,3,4,5,6,7,8,9,10,Total,Score
People in the group are working together to solve a problem,5,1,6,5,2,1,0,1,0,2,23.0,7.13
She is referring to everybody in the group,11,8,1,2,0,0,0,0,1,0,23.0,8.96
There is tension between people in the group,2,0,3,1,3,1,1,3,5,4,23.0,4.39
People in the group disagree with one another,0,2,0,1,2,0,5,5,5,3,23.0,3.7
This group consists of many people,2,4,6,2,2,4,2,1,0,0,23.0,7.0
People in the group generally get along,0,2,3,6,3,4,3,1,1,0,23.0,6.04
The speaker likes the people in the group,1,1,0,3,3,5,6,3,1,0,23.0,5.13
The speaker is in annoyed with the group,1,1,1,1,0,0,0,9,4,6,23.0,3.26
The speaker is in control of the group,1,2,2,2,3,3,3,0,3,4,23.0,4.91
The speaker is open to feedback from the group,0,2,1,0,5,5,3,0,3,4,23.0,4.48
,,,,,,,,,,,Answered,23
,,,,,,,,,,,Skipped,0


