Metaphoric Gesture Pilot MTurk AAOP

Q1. Please order these questions from most (first) to least (last) true.
Answer Choices,1,2,3,4,5,6,7,8,9,10,Total,Score
People in the group are working together to solve a problem,10,5,2,3,1,1,2,0,0,1,25.0,8.08
She is referring to everybody in the group,12,10,2,0,1,0,1,0,1,0,27.0,8.81
There is tension between people in the group,1,2,2,0,1,0,3,4,4,10,27.0,3.41
People in the group disagree with one another,1,0,0,4,0,3,0,8,10,1,27.0,3.63
This group consists of many people,2,5,9,4,2,3,0,2,0,0,27.0,7.33
People in the group generally get along,0,1,6,6,8,4,0,1,1,0,27.0,6.37
The speaker likes the people in the group,0,2,2,4,4,8,5,0,1,1,27.0,5.52
The speaker is in annoyed with the group,0,0,1,1,0,1,1,10,5,8,27.0,2.67
The speaker is in control of the group,1,1,0,2,3,3,9,2,4,2,27.0,4.37
The speaker is open to feedback from the group,0,1,2,2,7,4,6,0,1,4,27.0,4.85
,,,,,,,,,,,Answered,27
,,,,,,,,,,,Skipped,0


