Metaphoric Gesture Pilot MTurk AAS

Q1. Please order these questions from most (first) to least (last) true.
Answer Choices,1,2,3,4,5,6,7,8,9,10,Total,Score
People in the group are working together to solve a problem,7,2,4,2,2,3,0,1,1,1,23.0,7.26
She is referring to everybody in the group,8,8,2,2,1,0,0,0,0,2,23.0,8.26
There is tension between people in the group,0,1,3,2,2,3,4,1,2,5,23.0,4.43
People in the group disagree with one another,0,0,2,2,4,1,2,6,5,1,23.0,4.17
This group consists of many people,1,10,3,2,1,5,0,1,0,0,23.0,7.48
People in the group generally get along,0,0,4,4,4,2,3,4,1,1,23.0,5.26
The speaker likes the people in the group,1,1,2,5,6,3,3,1,1,0,23.0,6.0
The speaker is in annoyed with the group,2,0,0,0,0,2,2,5,6,6,23.0,3.09
The speaker is in control of the group,2,0,2,1,0,3,3,4,5,3,23.0,4.13
The speaker is open to feedback from the group,2,1,1,3,3,1,6,0,2,4,23.0,4.91
,,,,,,,,,,,Answered,23
,,,,,,,,,,,Skipped,0


