Metaphoric Gesture Pilot MTurk EO

Q1. Please order these questions from most (first) to least (last) true.
Answer Choices,1,2,3,4,5,6,7,8,9,10,Total,Score
People in the group are working together to solve a problem,4,3,0,3,2,2,0,1,4,3,22.0,5.64
She is referring to everybody in the group,5,3,3,1,4,0,2,2,1,1,22.0,6.77
There is tension between people in the group,3,3,1,1,4,0,0,5,5,1,23.0,5.3
People in the group disagree with one another,1,4,3,3,0,3,1,2,4,1,22.0,5.68
This group consists of many people,1,2,4,6,3,1,5,1,0,0,23.0,6.43
People in the group generally get along,0,2,5,3,3,2,2,2,1,2,22.0,5.68
The speaker likes the people in the group,2,2,4,1,3,4,3,2,2,0,23.0,5.96
The speaker is in annoyed with the group,2,0,2,3,0,1,2,4,1,7,22.0,4.14
The speaker is in control of the group,2,3,1,0,1,5,6,0,4,1,23.0,5.17
The speaker is open to feedback from the group,3,1,0,2,3,4,1,3,0,6,23.0,4.78
,,,,,,,,,,,Answered,23
,,,,,,,,,,,Skipped,0


