Metaphoric Gesture Pilot MTurk UF

Q1. Please order these questions from most (first) to least (last) true.
Answer Choices,1,2,3,4,5,6,7,8,9,10,Total,Score
People in the group are working together to solve a problem,6,3,3,2,1,1,3,1,1,6,27.0,5.89
She is referring to everybody in the group,1,3,5,6,4,4,1,2,1,0,27.0,6.48
There is tension between people in the group,13,4,1,2,2,1,0,0,2,2,27.0,7.81
People in the group disagree with one another,3,11,4,1,1,2,1,2,1,1,27.0,7.3
This group consists of many people,1,1,1,7,8,2,1,1,4,2,28.0,5.39
People in the group generally get along,0,0,1,1,2,2,6,4,8,4,28.0,3.32
The speaker likes the people in the group,0,1,1,1,1,3,8,7,4,1,27.0,3.96
The speaker is in annoyed with the group,2,0,8,4,4,2,3,2,2,1,28.0,6.04
The speaker is in control of the group,0,4,2,2,2,7,1,2,3,4,27.0,4.93
The speaker is open to feedback from the group,1,0,0,2,2,3,3,7,2,7,27.0,3.52
,,,,,,,,,,,Answered,28
,,,,,,,,,,,Skipped,0


