Metaphoric Gesture Pilot MTurk UO

Q1. Please order these questions from most (first) to least (last) true.
Answer Choices,1,2,3,4,5,6,7,8,9,10,Total,Score
People in the group are working together to solve a problem,10,4,1,1,5,0,0,0,0,0,21.0,8.62
She is referring to everybody in the group,5,9,2,3,1,0,1,0,0,0,21.0,8.48
There is tension between people in the group,0,3,6,2,1,1,3,1,1,3,21.0,5.71
People in the group disagree with one another,3,1,2,2,0,1,1,2,5,4,21.0,4.67
This group consists of many people,0,1,6,3,2,4,2,1,1,1,21.0,5.9
People in the group generally get along,2,2,4,2,3,4,0,0,1,3,21.0,6.05
The speaker likes the people in the group,0,0,0,5,3,3,5,4,1,0,21.0,4.86
The speaker is in annoyed with the group,0,0,0,1,1,1,2,8,2,5,20.0,2.95
The speaker is in control of the group,1,1,0,0,4,0,5,4,5,1,21.0,4.1
The speaker is open to feedback from the group,0,0,0,2,1,7,2,1,5,3,21.0,3.76
,,,,,,,,,,,Answered,21
,,,,,,,,,,,Skipped,0


