Metaphoric Gesture Pilot MTurk UT

Q1. Please order these questions from most (first) to least (last) true.
Answer Choices,1,2,3,4,5,6,7,8,9,10,Total,Score
People in the group are working together to solve a problem,11,4,1,1,2,1,2,0,0,1,23.0,8.13
She is referring to everybody in the group,5,8,1,4,2,1,1,0,0,0,22.0,8.14
There is tension between people in the group,1,1,3,1,2,2,3,3,3,4,23.0,4.48
People in the group disagree with one another,0,0,2,4,1,2,1,4,6,2,22.0,4.09
This group consists of many people,0,2,3,3,6,1,5,3,0,0,23.0,5.78
People in the group generally get along,3,2,4,1,3,2,2,4,1,1,23.0,6.0
The speaker likes the people in the group,1,1,3,2,4,6,2,2,0,1,22.0,5.73
The speaker is in annoyed with the group,1,1,1,2,0,1,0,4,4,8,22.0,3.36
The speaker is in control of the group,2,3,0,2,0,4,3,2,6,1,23.0,4.87
The speaker is open to feedback from the group,0,1,4,2,3,3,3,0,1,6,23.0,4.7
,,,,,,,,,,,Answered,24
,,,,,,,,,,,Skipped,0


