Answer Choices,1,2,3,4,5,6,7,8,9,10,Total,Score
People in the group are working together to solve a problem,9,5,6,2,4,2,4,3,1,10,46,5.83
She is referring to everybody in the group,3,7,8,10,5,6,2,2,3,0,46,6.67
There is tension between people in the group,21,5,4,2,3,3,0,1,4,3,46,7.57
People in the group disagree with one another,6,19,4,6,2,2,2,2,2,1,46,7.52
This group consists of many people,2,2,3,9,11,8,2,3,4,3,47,5.51
People in the group generally get along,0,1,2,3,5,4,8,4,11,9,47,3.64
The speaker likes the people in the group,1,1,2,1,3,4,14,11,7,2,46,4.02
The speaker is in annoyed with the group,2,0,13,6,5,6,4,5,3,3,47,5.66
The speaker is in control of the group,0,5,3,4,5,8,5,5,6,5,46,4.76
The speaker is open to feedback from the group,2,1,0,4,3,3,5,11,6,11,46,3.61
