Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Please order these questions from most (first) to least (last) true.,,,,,,,,,
,,,,,,,,,People in the group are working together to solve a problem,She is referring to everybody in the group,There is tension between people in the group,People in the group disagree with one another,This group consists of many people,People in the group generally get along,The speaker likes the people in the group,The speaker is in annoyed with the group,The speaker is in control of the group,The speaker is open to feedback from the group
10568965334,226002994,03/04/2019 05:16:04 PM,03/04/2019 05:16:51 PM,223.181.247.237,,,,,1,3,6,4,7,5,8,10,2,9
10568928145,226002994,03/04/2019 05:03:50 PM,03/04/2019 05:04:29 PM,208.81.216.8,,,,,7,6,1,2,5,10,9,3,8,4
10568910906,226002994,03/04/2019 04:58:49 PM,03/04/2019 04:58:59 PM,70.187.80.244,,,,,3,4,1,2,6,7,8,9,5,10
10568901793,226002994,03/04/2019 04:54:01 PM,03/04/2019 04:55:56 PM,76.178.136.48,,,,,5,3,1,2,4,10,7,6,9,8
10568892951,226002994,03/04/2019 04:51:32 PM,03/04/2019 04:52:54 PM,199.230.203.249,,,,,8,4,2,1,6,10,7,3,5,9
10568891876,226002994,03/04/2019 04:51:09 PM,03/04/2019 04:52:31 PM,76.170.121.247,,,,,5,3,1,2,6,7,8,4,10,9
10568888079,226002994,03/04/2019 04:50:19 PM,03/04/2019 04:51:15 PM,68.224.42.246,,,,,3,5,1,2,6,10,9,4,7,8
10568886898,226002994,03/04/2019 04:49:43 PM,03/04/2019 04:50:52 PM,71.71.88.77,,,,,10,4,1,2,3,9,5,6,8,7
10568885802,226002994,03/04/2019 04:49:59 PM,03/04/2019 04:50:31 PM,141.126.132.106,,,,,2,1,10,9,3,4,5,6,7,8
10568875685,226002994,03/04/2019 04:46:02 PM,03/04/2019 04:47:04 PM,72.223.24.90,,,,,5,1,3,4,2,6,7,8,9,10
10568869825,226002994,03/04/2019 04:44:03 PM,03/04/2019 04:44:59 PM,105.58.102.85,,,,,2,9,6,1,4,3,8,7,5,10
10568864571,226002994,03/04/2019 04:42:34 PM,03/04/2019 04:43:13 PM,70.161.178.75,,,,,3,4,9,7,6,5,1,10,8,2
10568863520,226002994,03/04/2019 04:41:00 PM,03/04/2019 04:42:51 PM,23.81.246.144,,,,,10,7,3,4,1,2,9,5,6,8
10568855517,226002994,03/04/2019 04:39:21 PM,03/04/2019 04:40:05 PM,173.172.162.237,,,,,1,2,3,4,6,5,7,8,9,10
10568854544,226002994,03/04/2019 04:38:32 PM,03/04/2019 04:39:46 PM,75.110.236.173,,,,,10,2,9,4,5,6,7,8,3,1
10568852895,226002994,03/04/2019 04:37:45 PM,03/04/2019 04:39:11 PM,65.25.209.220,,,,,6,9,1,2,8,10,7,3,4,5
10568850639,226002994,03/04/2019 04:36:54 PM,03/04/2019 04:38:24 PM,75.110.13.62,,,,,10,2,5,1,8,9,6,3,7,4
10568847785,226002994,03/04/2019 04:36:53 PM,03/04/2019 04:37:25 PM,209.136.123.151,,,,,8,6,1,2,5,9,10,3,4,7
10568846559,226002994,03/04/2019 04:36:34 PM,03/04/2019 04:37:00 PM,73.155.50.63,,,,,1,2,8,5,10,4,3,6,7,9
10545594647,226002994,02/21/2019 02:58:43 PM,02/21/2019 02:59:25 PM,104.11.247.178,,,,,3,9,1,2,10,8,7,4,5,6
10545538632,226002994,02/21/2019 02:36:46 PM,02/21/2019 02:38:00 PM,81.102.146.113,,,,,8,4,9,10,5,3,2,7,6,1
10545522544,226002994,02/21/2019 02:29:25 PM,02/21/2019 02:31:50 PM,108.213.140.246,,,,,10,6,1,2,5,9,8,3,4,7
10545478236,226002994,02/21/2019 02:12:27 PM,02/21/2019 02:14:18 PM,174.58.51.187,,,,,10,4,1,2,5,9,7,3,6,8
10545445837,226002994,02/21/2019 02:00:08 PM,02/21/2019 02:00:59 PM,201.208.245.47,,,,,2,3,1,5,4,7,6,9,10,8
10545440295,226002994,02/21/2019 01:57:12 PM,02/21/2019 01:58:36 PM,107.77.198.136,,,,,1,7,3,2,4,9,8,6,5,10
10545426524,226002994,02/21/2019 01:51:19 PM,02/21/2019 01:52:40 PM,96.66.1.145,,,,,3,2,1,9,4,7,5,8,6,10
10545422567,226002994,02/21/2019 01:48:54 PM,02/21/2019 01:51:00 PM,108.175.247.142,,,,,10,4,1,2,5,9,6,3,7,8
10545422453,226002994,02/21/2019 01:50:29 PM,02/21/2019 01:50:57 PM,75.186.5.239,,,,,1,8,2,4,10,7,9,5,3,6
10545406508,226002994,02/21/2019 01:43:25 PM,02/21/2019 01:43:56 PM,174.64.32.80,,,,,10,5,2,3,4,6,7,1,8,9
10545405593,226002994,02/21/2019 01:42:09 PM,02/21/2019 01:43:32 PM,207.59.152.163,,,,,10,2,4,1,9,5,7,3,6,8
10545401004,226002994,02/21/2019 01:40:46 PM,02/21/2019 01:41:28 PM,198.190.25.4,,,,,5,6,1,2,4,7,8,3,9,10
10545369148,226002994,02/21/2019 01:26:12 PM,02/21/2019 01:26:51 PM,98.2.212.58,,,,,,,,,8,9,,4,,10
10545367947,226002994,02/21/2019 01:25:25 PM,02/21/2019 01:26:16 PM,73.249.229.173,,,,,4,5,1,2,6,9,8,7,10,
10545333065,226002994,02/21/2019 01:07:54 PM,02/21/2019 01:09:38 PM,107.77.172.39,,,,,1,3,6,7,5,10,9,4,2,8
10545329925,226002994,02/21/2019 01:06:53 PM,02/21/2019 01:08:05 PM,148.253.178.242,,,,,10,3,2,1,4,9,8,5,6,7
10545328675,226002994,02/21/2019 01:05:58 PM,02/21/2019 01:07:28 PM,173.95.25.211,,,,,7,6,1,3,5,9,10,4,2,8
10545321365,226002994,02/21/2019 01:03:17 PM,02/21/2019 01:03:50 PM,157.46.48.51,,,,,2,4,5,6,7,8,9,1,3,10
10539986095,226002994,02/19/2019 07:18:30 PM,02/19/2019 07:21:44 PM,23.118.25.216,,,,,1,8,4,3,9,10,7,5,2,6
10539899007,226002994,02/19/2019 06:48:29 PM,02/19/2019 06:55:18 PM,24.38.233.192,,,,,7,4,1,2,5,10,6,3,9,8
10539887741,226002994,02/19/2019 06:50:38 PM,02/19/2019 06:51:10 PM,47.183.209.139,,,,,4,5,2,1,6,7,8,3,9,10
10539873137,226002994,02/19/2019 06:43:01 PM,02/19/2019 06:45:38 PM,70.94.146.8,,,,,9,5,1,2,4,10,8,3,6,7
10539870867,226002994,02/19/2019 06:44:40 PM,02/19/2019 06:44:49 PM,47.7.236.220,,,,,1,3,5,6,2,8,7,9,10,4
10539868768,226002994,02/19/2019 06:43:14 PM,02/19/2019 06:44:03 PM,67.0.215.82,,,,,7,6,1,2,3,8,9,5,10,4
10539868566,226002994,02/19/2019 06:42:34 PM,02/19/2019 06:43:59 PM,94.9.197.166,,,,,6,2,9,8,1,7,3,10,4,5
10539868503,226002994,02/19/2019 06:42:48 PM,02/19/2019 06:43:57 PM,99.191.129.123,,,,,1,3,10,8,9,6,4,7,2,5
10539868238,226002994,02/19/2019 06:43:29 PM,02/19/2019 06:43:51 PM,24.199.63.22,,,,,2,1,10,3,5,4,7,8,6,9
10539867051,226002994,02/19/2019 06:42:38 PM,02/19/2019 06:43:24 PM,150.250.5.22,,,,,3,4,1,2,9,5,7,6,8,10
