Answer Choices,1,2,3,4,5,6,7,8,9,10,Total,Score
People in the group are working together to solve a problem,16,5,3,2,6,1,0,0,0,1,34,8.38
She is referring to everybody in the group,8,14,5,4,1,0,2,0,0,1,35,8.26
There is tension between people in the group,1,6,7,2,2,1,5,1,3,6,34,5.47
People in the group disagree with one another,3,2,3,5,0,2,1,6,7,5,34,4.65
This group consists of many people,1,2,7,5,7,4,2,3,2,1,34,5.97
People in the group generally get along,3,3,6,5,4,7,1,0,1,4,34,6.15
The speaker likes the people in the group,0,1,2,7,5,4,7,5,4,0,35,5
The speaker is in annoyed with the group,0,0,1,1,1,3,6,11,4,7,34,3.18
The speaker is in control of the group,2,1,0,1,5,1,9,7,6,3,35,4.09
The speaker is open to feedback from the group,0,0,0,3,3,12,2,2,7,6,35,3.8
