Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Please order these questions from most (first) to least (last) true.,,,,,,,,,
,,,,,,,,,People in the group are working together to solve a problem,She is referring to everybody in the group,There is tension between people in the group,People in the group disagree with one another,This group consists of many people,People in the group generally get along,The speaker likes the people in the group,The speaker is in annoyed with the group,The speaker is in control of the group,The speaker is open to feedback from the group
10569112269,226002881,03/04/2019 06:07:51 PM,03/04/2019 06:09:14 PM,2.29.126.51,,,,,1,4,9,8,5,2,3,10,7,6
10569103651,226002881,03/04/2019 06:04:46 PM,03/04/2019 06:06:04 PM,107.77.199.4,,,,,1,3,2,4,5,6,9,7,8,10
10569098740,226002881,03/04/2019 05:58:11 PM,03/04/2019 06:04:15 PM,78.190.176.61,,,,,1,2,10,9,8,3,5,7,6,4
10569064387,226002881,03/04/2019 05:49:29 PM,03/04/2019 05:51:25 PM,129.205.113.67,,,,,2,3,7,8,5,1,4,9,10,6
10569027469,226002881,03/04/2019 05:37:22 PM,03/04/2019 05:38:03 PM,206.121.211.134,,,,,1,2,5,6,3,4,7,8,9,10
10568999649,226002881,03/04/2019 05:27:37 PM,03/04/2019 05:28:21 PM,134.132.52.220,,,,,1,2,9,10,4,5,3,7,8,6
10568986362,226002881,03/04/2019 05:22:33 PM,03/04/2019 05:23:48 PM,128.32.94.201,,,,,5,7,1,2,8,6,9,3,4,10
10568936210,226002881,03/04/2019 05:05:55 PM,03/04/2019 05:07:03 PM,73.195.45.39,,,,,6,1,2,3,4,10,9,7,5,8
10568927105,226002881,03/04/2019 05:03:37 PM,03/04/2019 05:04:10 PM,68.131.72.157,,,,,10,2,3,4,5,7,8,6,1,9
10568904870,226002881,03/04/2019 04:55:30 PM,03/04/2019 04:56:58 PM,76.177.12.21,,,,,,10,,,,,4,8,7,6
10568884841,226002881,03/04/2019 04:48:56 PM,03/04/2019 04:50:11 PM,24.103.175.66,,,,,3,2,7,8,1,4,5,9,10,6
10568865818,226002881,03/04/2019 04:41:02 PM,03/04/2019 04:43:38 PM,47.205.52.101,,,,,1,3,2,4,5,6,7,10,8,9
10568865147,226002881,03/04/2019 04:42:29 PM,03/04/2019 04:43:25 PM,73.25.45.200,,,,,3,1,10,8,9,4,2,6,7,5
10568845666,226002881,03/04/2019 04:35:19 PM,03/04/2019 04:36:42 PM,71.161.78.90,,,,,4,1,10,9,2,3,6,8,7,5
10545948259,226002881,02/21/2019 05:00:43 PM,02/21/2019 05:01:16 PM,194.73.99.251,,,,,2,1,8,9,3,5,6,10,7,4
10545932731,226002881,02/21/2019 04:55:22 PM,02/21/2019 04:56:01 PM,45.21.161.194,,,,,5,4,2,1,3,10,7,8,9,6
10545911422,226002881,02/21/2019 04:47:52 PM,02/21/2019 04:48:46 PM,216.125.49.252,,,,,1,2,9,8,7,3,4,,5,6
10545853792,226002881,02/21/2019 04:29:15 PM,02/21/2019 04:29:59 PM,172.56.11.45,,,,,1,2,4,3,6,5,7,8,9,10
10545747125,226002881,02/21/2019 03:53:48 PM,02/21/2019 03:54:33 PM,24.199.63.22,,,,,2,4,3,10,7,1,6,5,8,9
10545739083,226002881,02/21/2019 03:50:54 PM,02/21/2019 03:51:38 PM,72.200.140.79,,,,,1,2,3,10,6,4,5,9,7,8
10545666709,226002881,02/21/2019 03:24:41 PM,02/21/2019 03:25:44 PM,69.254.212.161,,,,,1,2,10,9,3,5,4,8,7,6
10545565069,226002881,02/21/2019 02:45:28 PM,02/21/2019 02:48:07 PM,107.143.29.27,,,,,4,1,2,3,10,9,8,7,5,6
10545491503,226002881,02/21/2019 02:18:44 PM,02/21/2019 02:19:34 PM,76.217.138.112,,,,,5,7,6,1,3,2,9,4,8,10
10545461207,226002881,02/21/2019 02:06:45 PM,02/21/2019 02:07:23 PM,96.66.1.145,,,,,3,5,2,1,6,4,7,8,10,9
10545342651,226002881,02/21/2019 01:11:26 PM,02/21/2019 01:14:16 PM,206.74.222.180,,,,,5,1,10,9,2,3,4,8,7,6
10540011204,226002881,02/19/2019 07:28:57 PM,02/19/2019 07:30:02 PM,192.198.1.201,,,,,1,4,5,6,3,10,8,7,2,9
10539985724,226002881,02/19/2019 07:19:58 PM,02/19/2019 07:21:37 PM,73.166.225.98,,,,,1,3,10,9,5,2,4,8,7,6
10539888025,226002881,02/19/2019 06:49:52 PM,02/19/2019 06:51:16 PM,108.5.97.81,,,,,1,2,3,4,5,6,7,10,8,9
10539878394,226002881,02/19/2019 06:46:27 PM,02/19/2019 06:47:36 PM,69.212.212.40,,,,,5,1,3,2,4,10,7,8,9,6
10539877016,226002881,02/19/2019 06:45:40 PM,02/19/2019 06:47:03 PM,96.237.236.13,,,,,5,2,4,7,3,6,8,9,1,10
10539868721,226002881,02/19/2019 06:42:52 PM,02/19/2019 06:44:02 PM,108.234.235.187,,,,,1,2,7,8,6,3,4,10,9,5
10539867828,226002881,02/19/2019 06:42:38 PM,02/19/2019 06:43:41 PM,50.44.181.254,,,,,1,2,7,9,8,3,6,10,5,4
10539867599,226002881,02/19/2019 06:42:55 PM,02/19/2019 06:43:36 PM,72.188.72.103,,,,,2,1,3,10,4,6,5,8,9,7
10539867593,226002881,02/19/2019 06:43:10 PM,02/19/2019 06:43:36 PM,108.31.246.175,,,,,2,3,7,10,4,1,5,6,8,9
10539866882,226002881,02/19/2019 06:42:50 PM,02/19/2019 06:43:20 PM,129.22.21.201,,,,,1,2,3,4,9,6,8,10,5,7
