Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Please order these questions from most (first) to least (last) true.,,,,,,,,,
,,,,,,,,,People in the group are working together to solve a problem,She is referring to everybody in the group,There is tension between people in the group,People in the group disagree with one another,This group consists of many people,People in the group generally get along,The speaker likes the people in the group,The speaker is in annoyed with the group,The speaker is in control of the group,The speaker is open to feedback from the group
10569314855,226003138,03/04/2019 07:24:32 PM,03/04/2019 07:25:28 PM,69.253.159.84,,,,,3,2,8,9,4,7,5,10,1,6
10569295715,226003138,03/04/2019 07:16:15 PM,03/04/2019 07:18:10 PM,75.169.62.219,,,,,1,3,8,9,2,6,7,10,5,4
10569232731,226003138,03/04/2019 06:53:47 PM,03/04/2019 06:54:50 PM,155.9.239.27,,,,,1,2,9,8,3,4,5,10,6,7
10569230739,226003138,03/04/2019 06:52:49 PM,03/04/2019 06:54:03 PM,23.125.150.184,,,,,4,2,10,9,5,7,3,8,1,6
10569222602,226003138,03/04/2019 06:50:02 PM,03/04/2019 06:50:50 PM,173.14.185.169,,,,,1,2,5,6,3,7,8,10,9,4
10569219877,226003138,03/04/2019 06:49:23 PM,03/04/2019 06:49:47 PM,73.247.63.17,,,,,10,2,5,8,9,1,3,6,4,7
10569193771,226003138,03/04/2019 06:38:34 PM,03/04/2019 06:39:46 PM,174.232.162.134,,,,,1,2,8,7,3,4,9,10,6,5
10569193721,226003138,03/04/2019 06:38:38 PM,03/04/2019 06:39:45 PM,96.230.132.37,,,,,8,2,10,7,3,6,4,9,1,5
10569186019,226003138,03/04/2019 06:34:15 PM,03/04/2019 06:36:49 PM,67.44.209.70,,,,,4,1,6,5,2,7,8,3,10,9
10569182720,226003138,03/04/2019 06:34:45 PM,03/04/2019 06:35:34 PM,50.127.221.110,,,,,5,1,4,2,9,7,6,3,8,10
10569176516,226003138,03/04/2019 06:32:01 PM,03/04/2019 06:33:15 PM,153.25.178.60,,,,,3,2,10,9,1,5,4,8,6,7
10569152234,226003138,03/04/2019 06:23:40 PM,03/04/2019 06:24:02 PM,24.199.63.22,,,,,2,5,7,8,4,1,6,9,10,3
10569045492,226003138,03/04/2019 05:38:43 PM,03/04/2019 05:44:31 PM,78.190.176.61,,,,,1,2,10,9,8,4,7,6,3,5
10569037655,226003138,03/04/2019 05:41:30 PM,03/04/2019 05:41:43 PM,190.124.28.150,,,,,1,3,5,4,6,7,2,8,9,10
10569006636,226003138,03/04/2019 05:30:15 PM,03/04/2019 05:30:44 PM,134.132.52.220,,,,,1,2,10,7,5,3,4,9,8,6
10568985274,226003138,03/04/2019 05:21:45 PM,03/04/2019 05:23:27 PM,173.76.143.136,,,,,1,2,9,10,4,3,5,8,7,6
10568921116,226003138,03/04/2019 05:01:52 PM,03/04/2019 05:02:16 PM,73.243.170.88,,,,,1,2,7,9,6,3,5,8,4,10
10568908471,226003138,03/04/2019 04:56:43 PM,03/04/2019 04:58:09 PM,68.131.72.157,,,,,10,1,3,4,8,9,6,5,2,7
10568886095,226003138,03/04/2019 04:48:40 PM,03/04/2019 04:50:37 PM,73.195.45.39,,,,,1,6,9,10,3,2,4,8,5,7
10568881447,226003138,03/04/2019 04:48:18 PM,03/04/2019 04:49:03 PM,50.233.104.158,,,,,10,8,4,5,6,2,7,3,1,9
10568872314,226003138,03/04/2019 04:45:27 PM,03/04/2019 04:45:53 PM,161.97.235.219,,,,,1,6,2,3,4,5,7,8,10,9
10546267648,226003138,02/21/2019 06:56:12 PM,02/21/2019 06:57:14 PM,24.183.11.249,,,,,1,4,2,3,5,7,8,6,9,10
10546059919,226003138,02/21/2019 05:38:21 PM,02/21/2019 05:40:07 PM,35.138.18.109,,,,,1,2,9,10,7,3,6,,4,5
10546033573,226003138,02/21/2019 05:29:13 PM,02/21/2019 05:30:42 PM,198.99.244.32,,,,,2,5,10,7,8,9,6,4,1,3
10546033526,226003138,02/21/2019 05:29:27 PM,02/21/2019 05:30:41 PM,73.61.209.90,,,,,1,4,9,8,2,3,5,10,6,7
10545984789,226003138,02/21/2019 05:13:29 PM,02/21/2019 05:13:39 PM,169.139.19.226,,,,,1,6,3,4,5,2,7,8,9,10
10545962485,226003138,02/21/2019 05:05:05 PM,02/21/2019 05:06:02 PM,24.163.13.47,,,,,1,2,4,6,3,5,7,10,8,9
10545803572,226003138,02/21/2019 04:13:36 PM,02/21/2019 04:14:18 PM,155.33.133.18,,,,,2,1,10,9,4,3,5,8,7,6
10545762413,226003138,02/21/2019 03:58:54 PM,02/21/2019 04:00:10 PM,72.36.58.90,,,,,7,1,8,9,5,6,4,10,2,3
10545747156,226003138,02/21/2019 03:52:46 PM,02/21/2019 03:54:34 PM,71.233.236.98,,,,,1,5,7,9,4,8,6,10,2,3
10545720747,226003138,02/21/2019 03:43:57 PM,02/21/2019 03:45:06 PM,192.189.187.118,,,,,1,2,9,8,3,4,5,10,6,7
10545693534,226003138,02/21/2019 03:32:13 PM,02/21/2019 03:35:17 PM,107.3.174.208,,,,,1,7,5,9,4,2,6,10,8,3
10545490353,226003138,02/21/2019 02:17:38 PM,02/21/2019 02:19:08 PM,191.99.147.109,,,,,,1,6,3,8,5,4,2,10,7
10545453752,226003138,02/21/2019 02:03:40 PM,02/21/2019 02:04:19 PM,96.66.1.145,,,,,1,2,8,10,7,3,5,9,4,6
10545409265,226003138,02/21/2019 01:44:46 PM,02/21/2019 01:45:12 PM,174.64.32.80,,,,,2,4,7,8,6,1,3,10,9,5
10545377602,226003138,02/21/2019 01:28:38 PM,02/21/2019 01:30:51 PM,98.2.212.58,,,,,10,2,6,5,7,8,1,3,9,4
10545364356,226003138,02/21/2019 01:22:51 PM,02/21/2019 01:24:33 PM,47.19.186.213,,,,,4,3,10,8,5,1,2,9,7,6
10545331344,226003138,02/21/2019 01:07:03 PM,02/21/2019 01:08:47 PM,68.38.237.142,,,,,7,4,5,6,2,8,3,9,1,10
10545267020,226003138,02/21/2019 12:33:37 PM,02/21/2019 12:34:05 PM,49.206.112.240,,,,,3,2,1,4,5,7,8,9,6,10
10539874820,226003138,02/19/2019 06:43:35 PM,02/19/2019 06:46:14 PM,108.67.58.51,,,,,2,1,8,9,3,5,6,10,7,4
10539873951,226003138,02/19/2019 06:44:54 PM,02/19/2019 06:45:55 PM,73.25.211.6,,,,,6,,,,5,8,,1,2,10
10539870738,226003138,02/19/2019 06:43:48 PM,02/19/2019 06:44:46 PM,98.148.156.60,,,,,1,,10,,,,,,,
10539869962,226003138,02/19/2019 06:42:59 PM,02/19/2019 06:44:30 PM,171.49.174.223,,,,,5,1,7,9,8,10,3,4,6,2
10539868732,226003138,02/19/2019 06:43:46 PM,02/19/2019 06:44:02 PM,47.7.236.220,,,,,1,2,3,4,7,6,10,8,9,5
10539865828,226003138,02/19/2019 06:42:34 PM,02/19/2019 06:42:57 PM,47.34.232.31,,,,,5,2,3,4,7,1,6,8,9,10
